Chapter,Raw_Title,English_Title,Raw_Characters,Raw_Words,Raw_Lines,English_Characters,English_Words,English_Lines,AI_Characters,AI_Words,AI_Lines,BERT_Similarity,Eng_Raw_Ratio,AI_Raw_Ratio,Raw_File,English_File
11,“确实如此。”路胜摸了摸自己老虎面具，心头却更加警惕起来。“难道婉儿有办法？”,Chapter 11: Lying Dormant (1),3116,2503,131,12294,2227,116,0,0,0,0.0,0.89,0.0,novel_content_dxmwx_complete/Chapter-0011-第十一章 蛰伏 一.txt,english_chapters/English-Chapter-0011.txt
12,路胜闻言，也是眼前一亮。,Chapter 12: Lying Dormant (2),3203,2668,114,13787,2435,102,0,0,0,0.0,0.91,0.0,novel_content_dxmwx_complete/Chapter-0012-第十二章 蛰伏 二.txt,english_chapters/English-Chapter-0012.txt
13,“只是，要提醒公子的是，这三门内功，都是只重养生的养生功，练成之后，与人交手没什么威力，适合家传修养，不适合争斗。练到最高也只有两层。”,Chapter 13: Lying Dormant (3),3195,2580,127,12311,2194,110,0,0,0,0.0,0.85,0.0,novel_content_dxmwx_complete/Chapter-0013-第十三章 蛰伏 三.txt,english_chapters/English-Chapter-0013.txt
14,书册上清清楚楚的书写着。,Chapter 14: Lying Dormant (4),3279,2682,139,14096,2497,109,0,0,0,0.0,0.93,0.0,novel_content_dxmwx_complete/Chapter-0014-第十四章 蛰伏 四.txt,english_chapters/English-Chapter-0014.txt
15,路胜在张巡捕头那里学了三日，之后便彻底将破心掌记下。,Chapter 15: Lying Dormant (5),3147,2637,123,13327,2362,101,11739,2032,243,0.889,0.9,0.77,novel_content_dxmwx_complete/Chapter-0015-第十五章 蛰伏 五.txt,english_chapters/English-Chapter-0015.txt
16,“还行，还好这段时间针对性的滋阴，这第二层是玉鹤功的最高境界，寻常人要用五年时间，我一下将五年时间缩短到这么短，自然是比前面入门时负担重许多。”,Chapter 16: A Turn of Events (1),3172,2597,122,13574,2469,101,0,0,0,0.0,0.95,0.0,novel_content_dxmwx_complete/Chapter-0016-第十六章 变故 一.txt,english_chapters/English-Chapter-0016.txt
17,路胜放下碗，思索了下。,Chapter 17: A Turn of Events (2),3251,2746,123,12957,2311,109,12183,2159,136,0.9035,0.84,0.79,novel_content_dxmwx_complete/Chapter-0017-第十七章 变故 二.txt,english_chapters/English-Chapter-0017.txt
18,三头握着齐眉棍目瞪口呆。,Chapter 18: A Turn of Events (3),3150,2647,130,13644,2341,135,12328,2114,130,0.9092,0.88,0.8,novel_content_dxmwx_complete/Chapter-0018-第十八章 变故 三.txt,english_chapters/English-Chapter-0018.txt
19,“身体还是太弱了啊....几个月的锻炼还远远不够。”路胜一停下来，顿时感觉浑身都疼。,Chapter 19: Setting Off (1),3204,2634,128,13462,2404,111,0,0,0,0.0,0.91,0.0,novel_content_dxmwx_complete/Chapter-0019-第十九章 上路 一.txt,english_chapters/English-Chapter-0019.txt
20,“胜哥从小便偷偷摸摸自己习武，身子骨还算硬朗，家主也不用担心。”,Chapter 20: Setting Off (2),3406,2837,123,13673,2402,111,12653,2188,233,0.8848,0.85,0.77,novel_content_dxmwx_complete/Chapter-0020-第二十章 上路 二.txt,english_chapters/English-Chapter-0020.txt
21,“这么急吗？”,Chapter 21: Setting Off (3),3199,2653,146,12254,2173,122,0,0,0,0.0,0.82,0.0,novel_content_dxmwx_complete/Chapter-0021-第二十一章 上路 三.txt,english_chapters/English-Chapter-0021.txt
22,热流来得快，去得也快。,Chapter 22: Setting Off (4),3261,2742,136,13237,2348,127,0,0,0,0.0,0.86,0.0,novel_content_dxmwx_complete/Chapter-0022-第二十二章 上路 四.txt,english_chapters/English-Chapter-0022.txt
23,路胜意念催动下，一丝黑煞内气飞速调动出来。,Chapter 23: Trouble (1),3139,2554,135,13356,2408,138,11561,2026,141,0.8597,0.94,0.79,novel_content_dxmwx_complete/Chapter-0023-第二十三章 出事 一.txt,english_chapters/English-Chapter-0023.txt
24,几乎每天早上起来，路胜都能感觉到自己肌肉越来越结实，身体越来越重。,Chapter 24: Trouble (2),3276,2701,136,14494,2600,119,12466,2228,136,0.855,0.96,0.82,novel_content_dxmwx_complete/Chapter-0024-第二十四章 出事 二.txt,english_chapters/English-Chapter-0024.txt
25,吱嘎...,Chapter 25: Night Watch (1),3239,2630,154,12690,2268,137,0,0,0,0.0,0.86,0.0,novel_content_dxmwx_complete/Chapter-0025-第二十五章 守夜 一.txt,english_chapters/English-Chapter-0025.txt
26,第二夜。,Chapter 26: Night Watch (2),3278,2731,157,14731,2631,154,12799,2206,313,0.838,0.96,0.81,novel_content_dxmwx_complete/Chapter-0026-第二十六章 守夜 二.txt,english_chapters/English-Chapter-0026.txt
27,一众人将路胜抬到卧房，请了专门的路府大夫过来查看。,Chapter 27: Hiring (1),3266,2697,127,13221,2327,108,0,0,0,0.0,0.86,0.0,novel_content_dxmwx_complete/Chapter-0027-第二十七章 招募 一.txt,english_chapters/English-Chapter-0027.txt
28,“也就是说，这里就是我们要找的那东西的源头？”段蓉蓉低声问。,Chapter 28: Hiring (2),3368,2763,137,13523,2383,121,0,0,0,0.0,0.86,0.0,novel_content_dxmwx_complete/Chapter-0028-第二十八章 招募 二.txt,english_chapters/English-Chapter-0028.txt
29,听到颜开这等话，路胜也不生气，只是笑了笑。,Chapter 29: Found (1),3207,2639,115,11980,2135,108,0,0,0,0.0,0.81,0.0,novel_content_dxmwx_complete/Chapter-0029-第二十九章 找到 一.txt,english_chapters/English-Chapter-0029.txt
30,路胜慢慢靠近道观二十步距离站定。,Chapter 30: Found (2),3380,2810,128,13522,2402,122,0,0,0,0.0,0.85,0.0,novel_content_dxmwx_complete/Chapter-0030-第三十章 找到 二.txt,english_chapters/English-Chapter-0030.txt
